source_symbol,sec_type_used,conid,symbol,sec_type,exchange,description,company_name,sections_json
CSCI,FOP,721297997,CSCI,,,TSE,COSCIENS BIOPHARMA INC,"[{""secType"": ""STK""}]"
CSCI,FUT,721297997,CSCI,,,TSE,COSCIENS BIOPHARMA INC,"[{""secType"": ""STK""}]"
CSCI,IND,721297997,CSCI,,,TSE,COSCIENS BIOPHARMA INC,"[{""secType"": ""STK""}]"
CSCI,OPT,721297997,CSCI,,,TSE,COSCIENS BIOPHARMA INC,"[{""secType"": ""STK""}]"
CSJ,FOP,368285512,CSJ,,,FWB,CSL LIMITED,"[{""secType"": ""STK""}]"
CSJ,FUT,368285512,CSJ,,,FWB,CSL LIMITED,"[{""secType"": ""STK""}]"
CSJ,IND,368285512,CSJ,,,FWB,CSL LIMITED,"[{""secType"": ""STK""}]"
CSJ,OPT,368285512,CSJ,,,FWB,CSL LIMITED,"[{""secType"": ""STK""}]"
CSO,FOP,603517496,CSO,,,FWB2,CALNEX SOLUTIONS PLC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
CSO,FUT,603517496,CSO,,,FWB2,CALNEX SOLUTIONS PLC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
CSO,IND,603517496,CSO,,,FWB2,CALNEX SOLUTIONS PLC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
CSO,OPT,603517496,CSO,,,FWB2,CALNEX SOLUTIONS PLC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
CSS,FOP,475686918,CSS,,,VALUE,COINSHARES INTERNATIONAL LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""757491014""}]"
CSS,FUT,475686918,CSS,,,VALUE,COINSHARES INTERNATIONAL LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""757491014""}]"
